"Team","age","wins","losses","wins_pyth","losses_pyth","Point.Differential","sos","srs","off_rtg","def_rtg","net_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","arena_name","attendance","attendance_per_g","yr"
"Los Angeles Lakers",29.5,52,19,48,23,5.79,0.49,6.28,112,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,NA,NA,NA,2020
"Los Angeles Clippers",27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,NA,NA,NA,2020
"Denver Nuggets",25.6,46,27,41,32,2.11,0.24,2.35,113.1,111,2.1,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,NA,NA,NA,2020
"Houston Rockets",29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21,0.228,0.529,13.7,75.6,0.197,NA,NA,NA,2020
"Oklahoma City Thunder",25.5,44,28,41,31,1.99,0.34,2.32,110.8,108.8,2,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.173,NA,NA,NA,2020
"Utah Jazz",27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,NA,NA,NA,2020
"Dallas Mavericks",26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,5,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,NA,NA,NA,2020
"Portland Trail Blazers",27.5,35,39,35,40,-1.08,0.54,-0.61,113.8,114.8,-1,100.8,0.245,0.375,0.57,0.533,11.2,22.3,0.197,0.53,11.2,75.3,0.208,NA,NA,NA,2020
