"Team","East_Champ_Percentage"
"Boston Celtics",11.351
"Brooklyn Nets",0.058
"Indiana Pacers",0.655
"Miami Heat",2.34
"Milwaukee Bucks",65.682
"Orlando Magic",0.054
"Philadelphia 76ers",0.508
"Toronto Raptors",19.352
